Первичная формулировка,Внешняя / Внутренняя,Классификация проблеммы,Бизнесс процесс,Вид биснесс процесса,З.Г.Д.
Жан Мюллер дольше в монтаже,Внешняя,,,,директор
"Если не стандартный заказ, то Митько не может закупать",Внутренняя,,,,
Срок только при стандартном планировании,Внешняя,,,,
"Стречная заявка приходит поздно, но она может быть только после КДТолько двери",Внутренняя,,,,
Еще раз 1 - нужно покрасить2 – Если оцинковка то проблема с раскроем,,,,,
"Ручная работа, нужна автоматизация",,,,,
"Нет технического специалиста в ОП, сырые заказы и схемы, плохой проект,(внешние проблеммы)",,,,,
Нужно заменить краску на маркировку,,,,,
Изготовление может быть параллельно,,,,,
Установка УВРБригада Меньшикова и бригада собственных нужд2 ч на 2УВР,,,,,
Двойные действия1- Поликарбонат снимаем/ставим2- ТТ снимаем/ставим,,,,,
МаркировкаВариант:Выделить человека,,,,,
Необходимо по монтажу:Аккумуляторная обжимка,,,,,
Проблема,,,,,
