Первичная формулировка,Внешняя / Внутренняя,Классификация проблеммы,Бизнесс процесс,Вид биснесс процесса,З.Г.Д.
Есть типовой проект. Необходимо продвигать типовые проекты,Внутренняя,"маркетинг, продажи
","маркетинг, продажи
","управляющий процесс
","дир по продажам
"
"40% работ с проектировщиками закрывается типовоми проектами, требуется повысит долю
",Внутренняя,"маркетинг, продажи
","маркетинг, продажи
","управляющий процесс
","дир по продажам
"
"40% работ с проектировщиками закрывается типовоми проектами, требуется повысит долю
",Внутренняя,"проектирование
","проектирование
","основной процесс
","дир по продажам
"
"6 типовых схем КТП для продажи, необходима унификация.
",Внутренняя,"проектирование
","проектирование
","основной процесс
","главный конструктор
"
"50% проектов выполненных устаревают к моменту размещения БКТП (затраты на актуализацию!!)
",Внешняя,"взаимодействие с техническим заказчиком 
","маркетинг и продажи
","управляющий процесс
","главный конструктор
"
"основные изменения связаны с изменениями от сетевой компании. (протоколы обмена, требования к оборудованию)
",Внешняя,"взаимодействие с техническим заказчиком 
","проектирование
","управляющий процесс
","главный конструктор
"
"изменения требований к составу оборудования от СК могут носить, как субъективно-личностные пожелания (хотелки), так и веления времени.
",Внешняя,"взаимодействие с техническим заказчиком 
","проектирование
","управляющий процесс
","главный конструктор
"
"увеличение обработки времени заявок происходит из-за неполной информации на момент размещения заказа.
",Внутренняя,"маркетинг, продажи
","маркетинг и продажи
","управляющий процесс
","дир по продажам
"
"замечания тех.характера увеличивают сроки формирования заявок на материалы.
",Внешняя,"взаимодействие с техническим заказчиком 
","проектирование
","производственный процесс
","дир по снабжению
"
"замечания тех.характера увеличивают сроки формирования заявок на материалы.
",Внутренняя,"маркетинг, продажи
","поставка оборудования
","управляющий процесс
","дир по продажам
"
"отсутсвие полного комплекта схем к заказу.
",Внешняя,"взаимодействие с техническим заказчиком 
","проектирование
","управляющий процесс
","дир по продажам
"
"поставка оборудования для ШТМ составляет 7недель
",Внешняя,"поставка оборудования
","поставка оборудования
","производственный процесс
","дир по снабжению
"
"заказные комплектующие необходимо ждать 57дней.
",Внешняя,"поставка оборудования
","поставка оборудования
","производственный процесс
","дир по снабжению
"
"ключевые, стандартные позиции - поставка 6 дней
",Внешняя,"поставка оборудования
","поставка оборудования
","производственный процесс
","дир по снабжению
"
"необходимо провести АВС анализ стоимости ключевых компонентов ТП (СН,РУВН,РУНН, БМ, ТМ, УЭ, СТ)
",Внешняя,"поставка оборудования
","поставка оборудования
","производственный процесс
","дир по снабжению
"
"длительный срок поставки РУВН - 60дней
",Внешняя,"поставка оборудования
","поставка оборудования
","производственный процесс
","дир по снабжению
"
"долгий срок поставки связан с сезонной загрузкзой поставщика 
",Внешняя,"поставка оборудования
","поставка оборудования
","производственный процесс
","дир по снабжению
"
"длительный срок поставки УЭ - 90дней
",Внешняя,"поставка оборудования
","поставка оборудования
","производственный процесс
","дир по снабжению
"
"долгий срок поставки связан с сезонной загрузкзой поставщика 
",Внешняя,"поставка оборудования
","поставка оборудования
","производственный процесс
","дир по снабжению
"
"срок поставки СТ - 60дней, однако он не влияет на монтаж ТП (монтируется на площадке)
",Внешняя,"поставка оборудования
","поставка оборудования
","производственный процесс
","дир по снабжению
"
"длительное изготовление БМ связано с набором прочности бетона
",Внешняя,"технология производства
","технологический процесс
","производственный процесс
","главный конструктор
"
"длительное изготовление БМ связано с набором прочности бетона
",Внутренняя,"технология производства
","технологический процесс
","развитие
","главный конструктор
"
"требуется работа с нормативной базой СК для поддержания типовых решений в актуальном виде
",Внутренняя,"проектирование
","проектирование
","производственный процесс
","главный конструктор
"
"необходимо разработать программу мероприятий по сокращению сроков ключевых комплектующих (ТМ,РУВН,УЭ,СТ)
",Внутренняя,"поставка оборудования
","поставка оборудования
","производственный процесс
","дир по снабжению
"
"Необходимо проработать мероприятия по улучшению сроков затвердевания бетона
",Внутренняя,"технология производства
","технологический процесс
","развитие
","главный конструктор
"
"длительный срок поставки ТМ - 60дней
",Внешняя,"поставка оборудования
","поставка оборудования
","производственный процесс
","дир по снабжению
"
